Liberal/National Coalition Percentage,StateAb,0-17,18-34,50-64,65-79,80+,One parent family,Median weekly household income,Medain monthly mortgage repayments,Owned outright,Overseas,Recent Migrant,LOTE spoken at home,Partially engaged,At least partially engaged,Not engaged,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Machinery Operators and Drivers,Labourers,Not stated,Year 12 equivalent,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
36.59,NSW,0.209,0.255,0.18,0.117,0.05,0.167,1372,2000,0.343,0.224,0.068,0.179,0.179,0.031,0.191,0.11,0.26,0.14,0.122,0.134,0.053,0.08,0.006,0.776,33.04221302992966,3.547786970070341,0.8950956412117929,0.20081336782007786,4.437409651593242,0.006291197438946694
64.33,WA,0.212,0.25,0.175,0.116,0.048,0.117,2052,2500,0.341,0.332,0.142,0.167,0.179,0.026,0.144,0.161,0.393,0.081,0.09,0.114,0.02,0.05,0.004,0.874,65.04358400517864,-0.713584005178646,-0.1846807328518289,0.2405152428532104,4.451785365432901,3.375333917888022e-4
64.61,QLD,0.235,0.227,0.196,0.11,0.032,0.154,1376,1758,0.288,0.135,0.057,0.066,0.17,0.037,0.188,0.117,0.152,0.174,0.105,0.119,0.106,0.118,0.007,0.644,65.3607933560872,-0.7507933560872004,-0.18905158485662465,0.19767149241869397,4.451754801446378,2.7517088742911786e-4
54.78,VIC,0.223,0.227,0.174,0.119,0.046,0.149,1547,1809,0.344,0.272,0.102,0.223,0.197,0.031,0.165,0.126,0.258,0.136,0.103,0.15,0.039,0.073,0.006,0.796,48.45120692348194,6.3287930765180604,1.4831498123183022,0.07371682138368736,4.4110796524091755,0.005470699841055886
54.64,QLD,0.259,0.215,0.18,0.104,0.023,0.143,1761,1900,0.286,0.188,0.061,0.072,0.191,0.033,0.168,0.123,0.206,0.145,0.116,0.166,0.056,0.079,0.006,0.792,57.038981029147166,-2.3989810291471656,-0.5843476656269269,0.1426008923984465,4.4460309246361085,0.0017747282595402662
48.5,NSW,0.237,0.204,0.183,0.135,0.054,0.205,1268,1733,0.323,0.131,0.025,0.053,0.201,0.035,0.22,0.107,0.166,0.16,0.126,0.135,0.068,0.111,0.006,0.616,49.43373643754665,-0.9337364375466493,-0.228654195879906,0.1516749529817341,4.451445277582313,2.9211909822031114e-4
47.26,VIC,0.228,0.22,0.186,0.118,0.04,0.191,1381,1688,0.283,0.217,0.055,0.109,0.194,0.034,0.186,0.12,0.178,0.165,0.115,0.139,0.063,0.093,0.007,0.687,48.92079594838144,-1.6607959483814412,-0.4041650731006676,0.141012152431492,4.449366538035242,8.379866580771242e-4
64.76,WA,0.246,0.244,0.185,0.082,0.019,0.153,1656,1733,0.24,0.163,0.076,0.114,0.133,0.048,0.187,0.14,0.139,0.2,0.093,0.105,0.123,0.12,0.007,0.508,61.38801379864048,3.371986201359526,0.9879022004217084,0.4073262413254356,4.434128127831471,0.02096064381925679
49.15,NSW,0.22,0.184,0.219,0.142,0.041,0.138,1349,1733,0.37,0.135,0.031,0.069,0.182,0.041,0.181,0.164,0.176,0.14,0.11,0.145,0.058,0.102,0.007,0.643,59.59845764608038,-10.448457646080378,-2.8083735088644404,0.29584759890648726,4.302347589764312,0.10355263191716495
64.18,QLD,0.231,0.231,0.177,0.125,0.036,0.172,1417,1950,0.258,0.299,0.111,0.115,0.189,0.03,0.185,0.126,0.166,0.152,0.115,0.143,0.059,0.099,0.007,0.727,68.46783691228852,-4.287836912288512,-1.067965050042797,0.1799610830089959,4.431035089216028,0.007821827555176873
63.44,QLD,0.225,0.191,0.197,0.142,0.047,0.153,1297,1750,0.315,0.198,0.064,0.053,0.222,0.032,0.199,0.117,0.201,0.159,0.12,0.13,0.048,0.101,0.006,0.738,60.227797755809256,3.212202244190742,0.7755950361958369,0.12741499154520552,4.441155664981458,0.00274493993751871
69.83,NSW,0.233,0.198,0.196,0.145,0.053,0.154,1149,1300,0.366,0.099,0.036,0.072,0.191,0.039,0.19,0.17,0.148,0.137,0.103,0.116,0.075,0.142,0.008,0.556,73.6874332695143,-3.8574332695143028,-0.9553949386099104,0.17071655030686672,4.435314631897905,0.00587203346918998
39.44,ACT,0.255,0.282,0.137,0.075,0.017,0.136,2066,2037,0.213,0.291,0.128,0.272,0.147,0.036,0.132,0.144,0.275,0.11,0.113,0.178,0.025,0.055,0.005,0.813,32.20609784730496,7.233902152695038,2.144952760300106,0.4213954783375521,4.3655044399654095,0.10471129565705976
62.7,QLD,0.22,0.187,0.193,0.155,0.054,0.156,1251,1820,0.346,0.193,0.06,0.048,0.218,0.035,0.203,0.116,0.181,0.164,0.122,0.128,0.054,0.106,0.007,0.729,62.969456310774305,-0.2694563107743022,-0.0643151668849391,0.10706068708761994,4.452346089065755,1.5498330069812878e-5
55.64,VIC,0.204,0.172,0.197,0.181,0.065,0.16,1219,1730,0.388,0.171,0.03,0.052,0.224,0.038,0.199,0.133,0.175,0.186,0.122,0.119,0.044,0.097,0.007,0.664,60.021414250345856,-4.3814142503458555,-1.1555537518651422,0.26865826842192797,4.427372576012966,0.015328871415510485
